编号	资质	描述
string	string	string
Id	Quality	Desc
1	Normal	此人为亡国公主，为当朝所不容，走投无路投身江湖，但仍不断遭受追查。
2	Normal	此人为阴年阴月阴时出生的玄阴血脉，体内寒霜郁结，若无灵丹妙药，恐血气凝固。
3	Normal	此人过度关注自己的容貌，就算在练功时也不愿惊起烟尘弄脏衣服，难成大器。
4	Normal	此人为前朝公主的丫鬟，因目不识丁才识驽钝才被招揽，收入门中需要先进行基础教育。
5	Normal	此人貌若天仙，身边总是会跟随一帮粉丝，人数众多，影响门派的正常活动。
6	Normal	此人会一些基本拳脚，却有些疯癫，念叨自己是武神转世，难以正常交流。
7	Normal	此人过目不忘，看过一遍的招式就能学会，但体弱多病，拳脚无力，真气聚九存一。
8	Normal	此人上有八十岁老母，下有三岁小儿，时常需要种田养家，不能坚持练功。
9	Normal	此人心浮气躁，浅尝辄止，难以在武学上下苦工，只能修行简单的拳脚功夫。
10	Normal	此人来路不明，武功全无，似乎是朝廷的暗子，祸藏异心，望少侠斟酌。
11	Normal	此人原是福远镖局的少当家，运镖不利被人灭门，后有追兵，逃窜至此。
12	Normal	此人心浮气躁，浅尝辄止，难以在武学上下苦工，只能修行简单的拳脚功夫。
13	Normal	此人为阳年阳月阳日出生的纯阳血脉，体内烈火焚烧，若无灵丹妙药，恐血气枯竭。
14	Normal	此人貌似潘安，身边总是会跟随一帮粉丝，人数众多，影响门派的正常活动。
15	Normal	此人貌似潘安，身边总是会跟随一帮粉丝，人数众多，影响门派的正常活动。
16	Normal	此人食欲旺盛，已有三个门派被他吃至倒闭，请掌门三思。
17	Normal	此人为前朝公主的侍卫，因目不识丁才识驽钝才被招揽，收入门中需要先进行基础教育。
18	Normal	此人慈悲心肠，无论敌我都难以下痛下杀手，往往点到为止，不免被有心之人利用。
19	Normal	此人反应迟钝，所有的攻击都难以躲开，因此总是遍体鳞伤，大部分时间都在养伤。
20	Normal	此人经脉堵塞，真气难通，但因其身体壮实，勉强能习得一些外功拳脚。
21	Good	此人为流落民间的公主，受大内暗中保护，收留她可能会带来皇家的友谊。
22	Good	此人为阴年阴月阴时出生的玄阴血脉，但有灵符护体，驱散寒气，增长功力。
